,,Teaching,Teaching,Teaching,Cognitive,Cognitive,Cognitive,Cognitive,Social,Social,Social
Source,Authors,Design and Organization,Facilitation,Direct Instruction,Triggering Event,Exploration,Integration,Resolution,Emotional Expression,Open Communication,Group Cohesion
,,19,11,14,2,6,10,3,6,15,9
https://files.eric.ed.gov/fulltext/EJ1117447.pdf,"Susi Peacock;
John Cowan",Building Trust and Comfort in Online Discussions: Designing ice-breaking activities and setting a comfortable online environment.,"Developing Social Confidence: Fostering a disposition among learners to read and understand messages, thereby facilitating effective discourse.",Promoting Help-Seeking Culture: Encouraging students to seek assistance and learn independently.,,Using Cognitive Maps: Introducing and guiding the use of cognitive maps to explore learning paths and options.,,,"Addressing Emotional Issues: Recognizing and managing emotional challenges in online learning, like intimidation or self-doubt.",Building Trust and Comfort in Online Discussions: Using ice-breaking activities and encouraging empathic projection to enhance communication.,"Encouraging Empathic Projection: Instructing learners to project personal characteristics into their joint pursuit of learning outcomes, fostering group identity."
https://files.eric.ed.gov/fulltext/EJ1117447.pdf,"Susi Peacock;
John Cowan",Addressing Emotional Issues: Preparing learners to cope with emotional issues arising in online learning.,,,,Assembling Personal Maps: Encouraging learners to create their own cognitive maps to navigate the learning landscape.,,,Creating Supportive Environments: Establishing virtual spaces for learners to share concerns and emotions.,"Developing Social Confidence: Encouraging learners to project their personal characteristics into their communication, facilitating open exchanges.",
https://pdfs.semanticscholar.org/7d32/24944d6155f1b710b2914de5ab142b90ec86.pdf,"Joni Dunlap;
Patrick R Lowenthal",Structuring online learning resources to be easily accessible.,Providing relevant individual and group feedback in a timely manner.,Modeling desired behaviors and interaction styles in online discussions.,Providing opportunities for higher order and experiential learning to engage students,"Encouraging students to search out and post resources, and to engage in creative activities.",Creating opportunities for students to solve their own problems and make choices in their learning.,Using effective assessment tools and rubrics so students understand how they are being assessed.,Encouraging personal connections and sharing stories.,Making human connections early in the course to promote comfortable communication.,Creating a sense of community.
https://pdfs.semanticscholar.org/7d32/24944d6155f1b710b2914de5ab142b90ec86.pdf,"Joni Dunlap;
Patrick R Lowenthal",Addressing universal design for learning principles in all created materials.,Involving students who are hesitant to participate and using structured group work.,Assigning meaningful work and using technology intentionally,,,,,Using humor and personal stories to engage students.,Using synchronous sessions and video walk-throughs for clearer and more personable announcements.,Encouraging collaborative group projects and the use of collaboration tools
https://pdfs.semanticscholar.org/7d32/24944d6155f1b710b2914de5ab142b90ec86.pdf,"Joni Dunlap;
Patrick R Lowenthal",Being well-prepared and having backup plans for technological issues.,,,,,,,,,
https://www.sciencedirect.com/science/article/abs/pii/S0360131515300725,Shih-Hsien Yang,"Use action logs to monitor and understand students' engagement with the feedback process, guiding the design of further instructional strategies.","Employ these tools for collaborative discussions among teachers to share challenges and insights, thereby improving feedback methods and facilitating discourse.","Provide specific, direct instruction through detailed feedback on both micro (grammatical, spelling, style) and macro (text organization, development) levels.",,,"Reflect on and integrate the effectiveness of feedback strategies, using teaching and social presence as support for cognitive development in feedback practice.",,,Engage in open communication with other teachers in forums and chat rooms to collaboratively refine feedback strategies.,Foster group cohesion among teachers through shared experiences and solutions in improving feedback methods.
https://www.erudit.org/en/journals/irrodl/2011-v12-n6-irrodl05121/1067481ar/,"Swapna Kumar;
Kara Dawson; Erik W. Black; Catherine Cavanaugh;
Christopher D. Sessums","Incorporate multiple forms of synchronous and asynchronous interaction, frequent opportunities for reflection, support for various learning styles, multimedia resources, and multiple assessment formats","Use software like Elluminate for monthly real-time conferencing sessions on various topics, encouraging and modeling a critical approach to educational technology research","Focus on the application of learned knowledge in professional practice, asking students to apply what they have learned in real-world contexts",,,"Involve students in the collective construction of knowledge through discourse in various asynchronous and synchronous learning environments, with an emphasis on applying this knowledge in professional practice",,,Integrate asynchronous communication tools like Google Groups to facilitate social interaction and cognitive presence outside of coursework,"Form small groups based on students’ areas of specialization to work together online, supporting social presence and cognitive presence within the larger community of practice"
https://www.erudit.org/en/journals/irrodl/2011-v12-n6-irrodl05121/1067481ar/,"Swapna Kumar;
Kara Dawson; Erik W. Black; Catherine Cavanaugh;
Christopher D. Sessums",Conduct a summer seminar combining online activities and a campus-based experience to model teaching presence in a synchronous setting and to reinforce content learned,,,,,,,,,
